trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
125,long,2339.80,2333.80,2350.11,2333.80,-6.00,SL_HIT,14,1.7
126,long,2345.81,2339.81,2354.84,2339.81,-6.00,SL_HIT,12,1.5
127,long,2348.63,2342.63,2373.23,2342.63,-6.00,SL_HIT,19,4.1
128,long,2327.05,2321.05,2337.36,2337.36,10.30,TP_HIT,80,1.7
129,long,2343.51,2337.51,2361.92,2337.51,-6.00,SL_HIT,3,3.1
130,long,2342.69,2336.69,2352.27,2352.27,9.58,TP_HIT,19,1.6
131,long,2327.29,2321.29,2337.47,2337.47,10.18,TP_HIT,11,1.7
132,long,2340.58,2334.58,2360.94,2334.58,-6.00,SL_HIT,11,3.4
133,long,2333.35,2333.35,2351.44,2351.44,18.09,TP_HIT,81,3.0
134,short,2352.02,2358.02,2331.74,2358.02,-6.00,SL_HIT,98,3.4
135,long,2364.18,2358.18,2383.80,2358.18,-6.00,SL_HIT,129,3.3
136,short,2363.12,2369.12,2353.04,2369.12,-6.00,SL_HIT,31,1.7
137,short,2373.01,2379.01,2354.32,2379.01,-6.00,SL_HIT,29,3.1
138,long,2300.55,2294.55,2310.42,2310.42,9.87,TP_HIT,53,1.6
139,long,2313.03,2307.03,2323.77,2307.03,-6.00,SL_HIT,47,1.8
140,long,2311.46,2305.46,2321.03,2321.03,9.57,TP_HIT,210,1.6
141,long,2335.07,2329.07,2346.18,2329.07,-6.00,SL_HIT,8,1.9
142,long,2334.26,2328.26,2358.97,2328.26,-6.00,SL_HIT,28,4.1
143,long,2319.02,2313.02,2376.47,2313.02,-6.00,SL_HIT,14,9.6
144,short,2312.78,2312.78,2293.91,2312.78,0.00,SL_HIT,179,3.1
145,short,2333.08,2333.08,2320.16,2320.16,12.91,TP_HIT,149,2.2
146,short,2321.55,2327.55,2312.31,2312.31,9.24,TP_HIT,24,1.5
147,short,2316.30,2322.30,2305.90,2322.30,-6.00,SL_HIT,67,1.7
148,long,2317.49,2317.49,2339.03,2328.24,10.75,MAX_HOLD,288,3.6
149,short,2339.05,2345.05,2315.71,2345.05,-6.00,SL_HIT,11,3.9
150,long,2356.66,2350.66,2383.15,2350.66,-6.00,SL_HIT,265,4.4
151,short,2327.95,2333.95,2318.17,2333.95,-6.00,SL_HIT,56,1.6
152,short,2322.31,2328.31,2311.74,2311.74,10.57,TP_HIT,123,1.8
153,long,2312.88,2306.88,2322.42,2306.88,-6.00,SL_HIT,14,1.6
154,long,2306.50,2306.50,2326.37,2326.37,19.87,TP_HIT,62,3.3
155,long,2326.11,2326.11,2345.50,2326.11,0.00,SL_HIT,104,3.2
156,long,2330.68,2324.68,2340.97,2324.68,-6.00,SL_HIT,32,1.7
157,long,2329.96,2323.96,2349.56,2323.96,-6.00,SL_HIT,44,3.3
158,long,2329.55,2323.55,2351.48,2323.55,-6.00,SL_HIT,168,3.7
159,long,2332.29,2326.29,2352.18,2326.29,-6.00,SL_HIT,4,3.3
160,long,2328.12,2328.12,2347.54,2347.54,19.42,TP_HIT,169,3.2
161,long,2350.63,2344.63,2362.72,2362.72,12.09,TP_HIT,18,2.0
162,long,2360.84,2360.84,2381.67,2381.67,20.83,TP_HIT,134,3.5
163,long,2386.55,2380.55,2410.62,2380.55,-6.00,SL_HIT,85,4.0
